account_id,company_name,country_hq,industry,employee_count,site_count,countries_with_sites,current_network_setup,lead_source,intent_stage_at_creation,created_date,close_date,outcome,acv_gbp,lost_reason,current_arr_gbp,churn_reason
ACC-0029,Uxley Energy,NL,Energy,113140,1032,64,Global MPLS from tier-1 carrier,ABM - intent,Consideration,2025-06-10,2026-03-10,Closed Lost,2894000,Chose tier-1 global carrier for fully managed WAN,,
ACC-0030,Bramwell Engineering,DK,Manufacturing,10980,101,21,MPLS + local ISPs,Outbound SDR,Decision,2024-07-06,2025-01-03,Closed Lost,397000,No decision - budget frozen,,
ACC-0031,Aubrac Insurance,SE,Financial services,4610,59,7,Multiple regional carriers,Inbound - content,,2022-02-03,2023-01-07,Closed Won,218000,,233000,
ACC-0032,Dunmore Engineering,IT,Manufacturing,3040,28,15,Multiple regional carriers,ABM - intent,Consideration,2024-08-06,2025-07-15,Closed Won,121000,,126000,
ACC-0033,Fenwick Components,CH,Manufacturing,105060,1143,79,Global MPLS from tier-1 carrier,Event,Consideration,2023-06-12,2024-07-03,Closed Lost,3245000,Chose tier-1 global carrier for fully managed WAN,,
ACC-0034,Nesbury Advisory,IT,Professional services,2560,29,6,Multiple regional carriers,RFP / tender,Decision,2022-07-07,2022-10-24,Closed Lost,87000,Price - incumbent carrier matched or undercut,,
ACC-0035,Wexford Industries,IE,Manufacturing,3060,41,15,Multiple regional carriers,Outbound SDR,Decision,2022-09-26,2023-04-23,Closed Won,176000,,191000,
ACC-0036,Orwell Industries,FR,Manufacturing,16610,140,21,"Legacy MPLS, no SD-WAN",Partner referral,Decision,2024-04-20,2024-11-14,Closed Won,621000,,1099000,
ACC-0037,Ulvik Retail Group,FR,Retail,5260,89,17,MPLS + local ISPs,ABM - intent,Decision,2024-01-12,2024-10-26,Closed Won,404000,,717000,
ACC-0038,Falkner Financial,US,Financial services,30620,415,106,Global MPLS from tier-1 carrier,ABM - intent,Consideration,2022-02-17,2022-11-13,Closed Lost,1174000,Chose tier-1 global carrier for fully managed WAN,,
ACC-0039,Glenmoor Brewing,NL,Food & beverage,5540,56,31,"Legacy MPLS, no SD-WAN",Event,Purchase,2023-04-26,2023-11-26,Closed Won,260000,,496000,
ACC-0040,Pellam Brands,BE,Retail,520,6,2,Single national carrier,Inbound - pricing page,,2026-03-28,2026-05-13,Closed Lost,23000,No decision - project deprioritised,,
ACC-0041,Thornbury Retail Group,DE,Retail,3220,35,3,Single national carrier,RFP / tender,Purchase,2022-11-06,2023-03-09,Closed Won,114000,,62000,
ACC-0042,Delmont Renewables,NL,Energy,4210,50,4,Single national carrier,RFP / tender,Decision,2024-02-04,2024-04-15,Closed Lost,151000,Price - incumbent carrier matched or undercut,,
ACC-0043,Norland Advisory,UK,Professional services,1750,19,3,Single national carrier,RFP / tender,,2021-03-05,2021-07-08,Closed Won,50000,,0,Moved to local national carrier at renewal on price
ACC-0044,Rosmer Engineering,BE,Manufacturing,8490,126,18,"Legacy MPLS, no SD-WAN",Partner referral,Decision,2023-01-30,2023-08-08,Closed Won,495000,,985000,
ACC-0045,Radley Biosciences,NL,Life sciences,8340,65,11,"Legacy MPLS, no SD-WAN",Outbound SDR,Decision,2023-12-02,2024-06-29,Closed Lost,297000,Lost to security-led SASE vendor - CISO requirement,,
ACC-0046,Lowther Hotels,UK,Hospitality,640,11,3,Single national carrier,Inbound - pricing page,Purchase,2023-10-31,2024-03-31,Closed Won,29000,,20000,
ACC-0047,Jorvik Freight,NL,Logistics,2110,42,31,Multiple regional carriers,Partner referral,Consideration,2023-05-03,2023-10-13,Closed Won,180000,,354000,
ACC-0048,Drummond Brewing,DE,Food & beverage,4570,50,33,Multiple regional carriers,ABM - intent,Consideration,2020-09-23,2021-03-20,Closed Won,166000,,399000,
ACC-0049,Lindqvist Consulting,BE,Professional services,2500,42,14,SD-WAN in-house + local ISPs,Outbound SDR,,2024-04-03,2024-12-13,Closed Won,158000,,177000,
ACC-0050,Marlowe Components,NL,Manufacturing,7230,93,12,MPLS + local ISPs,Event,Decision,2024-02-29,2024-09-06,Closed Won,415000,,690000,
ACC-0051,Zeller Components,DK,Manufacturing,11900,115,18,"Legacy MPLS, no SD-WAN",ABM - intent,Decision,2023-07-30,2024-02-27,Closed Won,398000,,695000,
ACC-0052,Istra Industries,DK,Manufacturing,2490,22,3,Single national carrier,Inbound - pricing page,Decision,2022-12-22,2023-04-24,Closed Won,75000,,52000,
ACC-0053,Ostrava Manufacturing,SE,Manufacturing,3330,31,8,Multiple regional carriers,RFP / tender,Decision,2024-04-06,2024-06-15,Closed Lost,105000,Price - incumbent carrier matched or undercut,,
ACC-0054,Ashgrove Components,US,Manufacturing,2960,49,3,Multiple regional carriers,RFP / tender,,2024-04-17,2024-08-21,Closed Lost,169000,Price - incumbent carrier matched or undercut,,
ACC-0055,Whitmore Labs,US,Life sciences,6210,50,24,"Legacy MPLS, no SD-WAN",ABM - intent,Purchase,2024-01-19,2024-10-30,Closed Won,161000,,279000,
ACC-0056,Larchmont Brands,NL,Retail,1580,22,5,Multiple regional carriers,RFP / tender,,2023-11-22,2024-03-31,Closed Lost,62000,Price - incumbent carrier matched or undercut,,
ACC-0057,Varne Distribution,US,Logistics,8300,127,15,"Legacy MPLS, no SD-WAN",Event,Decision,2022-03-24,2022-12-24,Closed Won,410000,,860000,
ACC-0058,Greyling Freight,DK,Logistics,1380,21,14,MPLS + local ISPs,Outbound SDR,,2024-06-27,2025-03-04,Closed Won,65000,,71000,
ACC-0059,Iverson Studios,NL,Media,520,8,2,Single national carrier,Inbound - content,Consideration,2022-11-15,2023-02-12,Closed Lost,31000,Small domestic footprint - chose local ISP,,
ACC-0060,Quarry Industries,CH,Manufacturing,6650,62,14,"Legacy MPLS, no SD-WAN",ABM - intent,Consideration,2023-01-06,2023-09-25,Closed Lost,202000,No champion in network team - stalled at CIO,,
